source_table,target_table,fk_count,sample_source_columns
Crm.Draws,Crm.Organizations,1,OrganizationUid
Crm.Draws,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.ETesisTerkinContractIbans,Crm.ContractIBANs,1,ContractIBANUid
Crm.ETesisTerkinContractIbans,Crm.ETesisTerkinIntegrations,1,ETesisTerkinIntegrationUid
Crm.ETesisTerkinContractIbans,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.ETesisTerkinIntegrations,Crm.Contracts,1,ContractUid
Crm.ETesisTerkinIntegrations,Crm.Customers,1,CustomerUid
Crm.ETesisTerkinIntegrations,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.FileTypeCategories,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.FileTypes,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Files,Crm.Contracts,1,ContractUid
Crm.Files,Crm.Customers,1,CustomerUid
Crm.Files,Crm.Distraints,1,DistraintUid
Crm.Files,Crm.Inventories,1,InventoryUid
Crm.Files,Crm.Mortgages,1,MortgageUid
Crm.Files,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Firms,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.GroupProducts,Crm.Groups,1,GroupUid
Crm.GroupProducts,Crm.Products,1,ProductUid
Crm.GroupProducts,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Groups,Crm.Users,4,"ClosedBy, CreatedBy, DeletedBy, UpdatedBy"
Crm.Guarantors,Crm.Contracts,1,ContractUid
Crm.Guarantors,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.IntegrationApiLogs,Crm.Users,3,"CreatedByUserUid, DeletedByUserUid, UpdatedByUserUid"
Crm.IntegrationApiLogs250919,Crm.Users,3,"CreatedByUserUid, DeletedByUserUid, UpdatedByUserUid"
Crm.InternetSubeLogs,Crm.Customers,1,CustomerUid
Crm.InternetSubeLogs,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Inventories,Crm.InventoryTypes,1,InventoryTypeUid
Crm.Inventories,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.InventoryDebits,Crm.Debits,1,DebitUid
Crm.InventoryDebits,Crm.Inventories,1,InventoryUid
Crm.InventoryDebits,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.InventoryTypes,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.InvoiceLogoLogs,Crm.Contracts,1,ContractUid
Crm.InvoiceLogoLogs,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.IssueHistories,Crm.Issues,1,IssueUid
Crm.IssueHistories,Crm.Organizations,1,OrganizationUid
Crm.IssueHistories,Crm.Users,6,"AnswerBy, CreatedBy, DeletedBy, DirectUserUid +2"
Crm.Issues,Crm.Organizations,1,OrganizationUid
Crm.Issues,Crm.Users,6,"AnswerBy, CreatedBy, DeletedBy, DirectUserUid +2"
Crm.LeadForms,Crm.Activities,1,ActivityUid
Crm.LeadForms,Crm.AdForms,1,AdFormUid
Crm.LeadForms,Crm.Organizations,1,OrganizationUid
Crm.LeadForms,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.LoginFaileds,Crm.Users,2,"CreatedBy, DeletedBy"
Crm.Logins,Crm.Users,4,"CreatedBy, DeletedBy, UpdatedBy, UserUid"
Crm.LogoLogs,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.LogoPayments,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.LogoServiceLogs,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.ManuelLeadForCallCenterQueues,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.MobileApplicationConfigurations,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.MobileConfigurationSettings,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.MobilePhoneNumbers,Crm.Users,4,"CreatedBy, DeletedBy, OwnerUid, UpdatedBy"
Crm.ModuleAuths,Crm.Modules,1,ModuleUid
Crm.ModuleAuths,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Modules,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.MortgageCosts,Crm.Mortgages,1,MortgageUid
Crm.MortgageCosts,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.MortgageInsurances,Crm.Mortgages,1,MortgageUid
Crm.MortgageInsurances,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.MortgageLogs,Crm.Mortgages,1,MortgageUid
Crm.MortgageLogs,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.MortgagePledgeVehicleBrandModels,Crm.MortgagePledgeVehicleBrands,1,MortgagePledgeVehicleBrandUid
Crm.MortgagePledgeVehicleBrandModels,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.MortgagePrePledges,Crm.MortgagePledges,1,MortgagePledgeUid
Crm.MortgageTypes,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Mortgages,Crm.Contracts,1,ContractUid
Crm.Mortgages,Crm.MortgageTypes,1,MortgageTypeUid
