constraint,source_table,source_columns,target_table
FK_CustomerLoginSmsFaileds_Users_DeletedBy,Crm.CustomerLoginSmsFaileds,DeletedBy,Crm.Users
FK_CustomerLoginSmsFaileds_Users_UpdatedBy,Crm.CustomerLoginSmsFaileds,UpdatedBy,Crm.Users
FK_CustomerLogins_Users_CreatedBy,Crm.CustomerLogins,CreatedBy,Crm.Users
FK_CustomerLogins_Users_DeletedBy,Crm.CustomerLogins,DeletedBy,Crm.Users
FK_CustomerLogins_Users_UpdatedBy,Crm.CustomerLogins,UpdatedBy,Crm.Users
FK_CustomerSources_Users_CreatedBy,Crm.CustomerSources,CreatedBy,Crm.Users
FK_CustomerSources_Users_DeletedBy,Crm.CustomerSources,DeletedBy,Crm.Users
FK_CustomerSources_Users_UpdatedBy,Crm.CustomerSources,UpdatedBy,Crm.Users
FK_Customers_Users_CreatedBy,Crm.Customers,CreatedBy,Crm.Users
FK_Customers_Users_DeletedBy,Crm.Customers,DeletedBy,Crm.Users
FK_Customers_Users_UpdatedBy,Crm.Customers,UpdatedBy,Crm.Users
FK_DailyServicePricePaidLog_Users_CreatedBy,Crm.DailyServicePricePaidLogs,CreatedBy,Crm.Users
FK_DailyServicePricePaidLog_Users_DeletedBy,Crm.DailyServicePricePaidLogs,DeletedBy,Crm.Users
FK_DailyServicePricePaidLog_Users_UpdatedBy,Crm.DailyServicePricePaidLogs,UpdatedBy,Crm.Users
FK_DataAnalysisLogs_Users_CreatedBy,Crm.DataAnalysisLogs,CreatedBy,Crm.Users
FK_DataAnalysisLogs_Users_DeletedBy,Crm.DataAnalysisLogs,DeletedBy,Crm.Users
FK_DataAnalysisLogs_Users_UpdatedBy,Crm.DataAnalysisLogs,UpdatedBy,Crm.Users
FK_Debits_Users_CreatedBy,Crm.Debits,CreatedBy,Crm.Users
FK_Debits_Users_DeletedBy,Crm.Debits,DeletedBy,Crm.Users
FK_Debits_Users_UpdatedBy,Crm.Debits,UpdatedBy,Crm.Users
FK_Deliveries_Users_CreatedBy,Crm.Deliveries,CreatedBy,Crm.Users
FK_Deliveries_Users_DeletedBy,Crm.Deliveries,DeletedBy,Crm.Users
FK_Deliveries_Users_UpdatedBy,Crm.Deliveries,UpdatedBy,Crm.Users
FK_DeliveryCallHistories_Users_CreatedBy,Crm.DeliveryCallHistories,CreatedBy,Crm.Users
FK_DeliveryCallHistories_Users_DeletedBy,Crm.DeliveryCallHistories,DeletedBy,Crm.Users
FK_DeliveryCallHistories_Users_UpdatedBy,Crm.DeliveryCallHistories,UpdatedBy,Crm.Users
FK_DeliveryCallNotes_Users_CreatedBy,Crm.DeliveryCallNotes,CreatedBy,Crm.Users
FK_DeliveryCallNotes_Users_DeletedBy,Crm.DeliveryCallNotes,DeletedBy,Crm.Users
FK_DeliveryCallNotes_Users_UpdatedBy,Crm.DeliveryCallNotes,UpdatedBy,Crm.Users
FK_DeliveryCalls_Users_CreatedBy,Crm.DeliveryCalls,CreatedBy,Crm.Users
FK_DeliveryCalls_Users_DeletedBy,Crm.DeliveryCalls,DeletedBy,Crm.Users
FK_DeliveryCalls_Users_UpdatedBy,Crm.DeliveryCalls,UpdatedBy,Crm.Users
FK_DeliveryEmployees_Users_CreatedBy,Crm.DeliveryEmployees,CreatedBy,Crm.Users
FK_DeliveryEmployees_Users_DeletedBy,Crm.DeliveryEmployees,DeletedBy,Crm.Users
FK_DeliveryEmployees_Users_UpdatedBy,Crm.DeliveryEmployees,UpdatedBy,Crm.Users
FK_DeliveryFiles_Users_CreatedBy,Crm.DeliveryFiles,CreatedBy,Crm.Users
FK_DeliveryFiles_Users_DeletedBy,Crm.DeliveryFiles,DeletedBy,Crm.Users
FK_DeliveryFiles_Users_UpdatedBy,Crm.DeliveryFiles,UpdatedBy,Crm.Users
FK_DeliveryPayments_Users_CreatedBy,Crm.DeliveryPayments,CreatedBy,Crm.Users
FK_DeliveryPayments_Users_DeletedBy,Crm.DeliveryPayments,DeletedBy,Crm.Users
FK_DeliveryPayments_Users_UpdatedBy,Crm.DeliveryPayments,UpdatedBy,Crm.Users
FK_DeliveryRanges_Users_CreatedBy,Crm.DeliveryRanges,CreatedBy,Crm.Users
FK_DeliveryRanges_Users_DeletedBy,Crm.DeliveryRanges,DeletedBy,Crm.Users
FK_DeliveryRanges_Users_UpdatedBy,Crm.DeliveryRanges,UpdatedBy,Crm.Users
FK_DeliveryWorkAdvances_Users_CreatedBy,Crm.DeliveryWorkAdvances,CreatedBy,Crm.Users
FK_DeliveryWorkAdvances_Users_DeletedBy,Crm.DeliveryWorkAdvances,DeletedBy,Crm.Users
FK_DeliveryWorkAdvances_Users_UpdatedBy,Crm.DeliveryWorkAdvances,UpdatedBy,Crm.Users
FK_Distraints_Users_CreatedBy,Crm.Distraints,CreatedBy,Crm.Users
FK_Distraints_Users_DeletedBy,Crm.Distraints,DeletedBy,Crm.Users
FK_Distraints_Users_UpdatedBy,Crm.Distraints,UpdatedBy,Crm.Users
FK_Documents_Users_CreatedBy,Crm.Documents,CreatedBy,Crm.Users
FK_Documents_Users_DeletedBy,Crm.Documents,DeletedBy,Crm.Users
FK_Documents_Users_UpdatedBy,Crm.Documents,UpdatedBy,Crm.Users
FK_DrawCodes_Users_CreatedBy,Crm.DrawCodes,CreatedBy,Crm.Users
FK_DrawCodes_Users_DeletedBy,Crm.DrawCodes,DeletedBy,Crm.Users
FK_DrawCodes_Users_UpdatedBy,Crm.DrawCodes,UpdatedBy,Crm.Users
FK_Draws_Users_CreatedBy,Crm.Draws,CreatedBy,Crm.Users
FK_Draws_Users_DeletedBy,Crm.Draws,DeletedBy,Crm.Users
FK_Draws_Users_UpdatedBy,Crm.Draws,UpdatedBy,Crm.Users
FK_ETesisTerkinContractIbans_Users_CreatedBy,Crm.ETesisTerkinContractIbans,CreatedBy,Crm.Users
FK_ETesisTerkinContractIbans_Users_DeletedBy,Crm.ETesisTerkinContractIbans,DeletedBy,Crm.Users
FK_ETesisTerkinContractIbans_Users_UpdatedBy,Crm.ETesisTerkinContractIbans,UpdatedBy,Crm.Users
FK_ETesisTerkinIntegrations_Users_CreatedBy,Crm.ETesisTerkinIntegrations,CreatedBy,Crm.Users
FK_ETesisTerkinIntegrations_Users_DeletedBy,Crm.ETesisTerkinIntegrations,DeletedBy,Crm.Users
FK_ETesisTerkinIntegrations_Users_UpdatedBy,Crm.ETesisTerkinIntegrations,UpdatedBy,Crm.Users
FK_FileTypeCategories_Users_CreatedBy,Crm.FileTypeCategories,CreatedBy,Crm.Users
FK_FileTypeCategories_Users_DeletedBy,Crm.FileTypeCategories,DeletedBy,Crm.Users
FK_FileTypeCategories_Users_UpdatedBy,Crm.FileTypeCategories,UpdatedBy,Crm.Users
FK_FileTypes_Users_CreatedBy,Crm.FileTypes,CreatedBy,Crm.Users
FK_FileTypes_Users_DeletedBy,Crm.FileTypes,DeletedBy,Crm.Users
FK_FileTypes_Users_UpdatedBy,Crm.FileTypes,UpdatedBy,Crm.Users
FK_Files_Users_CreatedBy,Crm.Files,CreatedBy,Crm.Users
FK_Files_Users_DeletedBy,Crm.Files,DeletedBy,Crm.Users
FK_Files_Users_UpdatedBy,Crm.Files,UpdatedBy,Crm.Users
FK_Firms_Users_CreatedBy,Crm.Firms,CreatedBy,Crm.Users
FK_Firms_Users_DeletedBy,Crm.Firms,DeletedBy,Crm.Users
FK_Firms_Users_UpdatedBy,Crm.Firms,UpdatedBy,Crm.Users
FK_GroupProducts_Users_CreatedBy,Crm.GroupProducts,CreatedBy,Crm.Users
FK_GroupProducts_Users_DeletedBy,Crm.GroupProducts,DeletedBy,Crm.Users
FK_GroupProducts_Users_UpdatedBy,Crm.GroupProducts,UpdatedBy,Crm.Users
FK_Groups_Users_CreatedBy,Crm.Groups,CreatedBy,Crm.Users
FK_Groups_Users_DeletedBy,Crm.Groups,DeletedBy,Crm.Users
FK_Groups_Users_UpdatedBy,Crm.Groups,UpdatedBy,Crm.Users
FK_Guarantors_Users_CreatedBy,Crm.Guarantors,CreatedBy,Crm.Users
FK_Guarantors_Users_DeletedBy,Crm.Guarantors,DeletedBy,Crm.Users
FK_Guarantors_Users_UpdatedBy,Crm.Guarantors,UpdatedBy,Crm.Users
FK_IntegrationApiLogs_Users_CreatedByUserUid,Crm.IntegrationApiLogs,CreatedByUserUid,Crm.Users
FK_IntegrationApiLogs_Users_DeletedByUserUid,Crm.IntegrationApiLogs,DeletedByUserUid,Crm.Users
FK_IntegrationApiLogs_Users_UpdatedByUserUid,Crm.IntegrationApiLogs,UpdatedByUserUid,Crm.Users
FK_IntegrationApiLogs_Users_CreatedByUserUid1,Crm.IntegrationApiLogs250919,CreatedByUserUid,Crm.Users
FK_IntegrationApiLogs_Users_DeletedByUserUid1,Crm.IntegrationApiLogs250919,DeletedByUserUid,Crm.Users
FK_IntegrationApiLogs_Users_UpdatedByUserUid1,Crm.IntegrationApiLogs250919,UpdatedByUserUid,Crm.Users
FK_InternetSubeLogs_Users_CreatedBy,Crm.InternetSubeLogs,CreatedBy,Crm.Users
FK_InternetSubeLogs_Users_DeletedBy,Crm.InternetSubeLogs,DeletedBy,Crm.Users
FK_InternetSubeLogs_Users_UpdatedBy,Crm.InternetSubeLogs,UpdatedBy,Crm.Users
FK_Inventories_Users_CreatedBy,Crm.Inventories,CreatedBy,Crm.Users
FK_Inventories_Users_DeletedBy,Crm.Inventories,DeletedBy,Crm.Users
FK_Inventories_Users_UpdatedBy,Crm.Inventories,UpdatedBy,Crm.Users
FK_InventoryDebits_Users_CreatedBy,Crm.InventoryDebits,CreatedBy,Crm.Users
FK_InventoryDebits_Users_DeletedBy,Crm.InventoryDebits,DeletedBy,Crm.Users
FK_InventoryDebits_Users_UpdatedBy,Crm.InventoryDebits,UpdatedBy,Crm.Users
FK_InventoryTypes_Users_CreatedBy,Crm.InventoryTypes,CreatedBy,Crm.Users
FK_InventoryTypes_Users_DeletedBy,Crm.InventoryTypes,DeletedBy,Crm.Users
FK_InventoryTypes_Users_UpdatedBy,Crm.InventoryTypes,UpdatedBy,Crm.Users
FK_InvoiceLogoLogs_Users_CreatedBy,Crm.InvoiceLogoLogs,CreatedBy,Crm.Users
FK_InvoiceLogoLogs_Users_DeletedBy,Crm.InvoiceLogoLogs,DeletedBy,Crm.Users
FK_InvoiceLogoLogs_Users_UpdatedBy,Crm.InvoiceLogoLogs,UpdatedBy,Crm.Users
FK_IssueHistories_Users_CreatedBy,Crm.IssueHistories,CreatedBy,Crm.Users
FK_IssueHistories_Users_DeletedBy,Crm.IssueHistories,DeletedBy,Crm.Users
